line num, embedding size, hidden size
0, 2, 8
1, 2, 16
2, 2, 32
3, 2, 64
4, 2, 128
5, 2, 256
6, 2, 512
7, 2, 1024
8, 4, 8
9, 4, 16
10, 4, 32
11, 4, 64
12, 4, 128
13, 4, 256
14, 4, 512
15, 4, 1024
16, 8, 8
17, 8, 16
18, 8, 32
19, 8, 64
20, 8, 128
21, 8, 256
22, 8, 512
23, 8, 1024
24, 16, 8
25, 16, 16
26, 16, 32
27, 16, 64
28, 16, 128
29, 16, 256
30, 16, 512
31, 16, 1024
32, 32, 8
33, 32, 16
34, 32, 32
35, 32, 64
36, 32, 128
37, 32, 256
38, 32, 512
39, 32, 1024
40, 64, 8
41, 64, 16
42, 64, 32
43, 64, 64
44, 64, 128
45, 64, 256
46, 64, 512
47, 64, 1024
48, 128, 8
49, 128, 16
50, 128, 32
51, 128, 64
52, 128, 128
53, 128, 256
54, 128, 512
55, 128, 1024
56, 256, 8
57, 256, 16
58, 256, 32
59, 256, 64
60, 256, 128
61, 256, 256
62, 256, 512
63, 256, 1024
